Time,Open,High,Low,Latest,Change,%Change,Volume
15/07/2025,0.24,0.25,0.24,0.25,0.01,4.17%,404332
16/07/2025,0.25,0.265,0.25,0.26,0.01,4.00%,922030
17/07/2025,0.255,0.265,0.25,0.25,-0.01,-3.85%,388022
18/07/2025,0.265,0.27,0.26,0.265,0.015,6.00%,1578070
21/07/2025,0.265,0.265,0.255,0.265,0,0.00%,181065
22/07/2025,0.265,0.265,0.25,0.255,-0.01,-3.77%,322235
23/07/2025,0.255,0.26,0.25,0.25,-0.005,-1.96%,427121
24/07/2025,0.255,0.265,0.25,0.26,0.01,4.00%,406346
25/07/2025,0.255,0.26,0.25,0.25,-0.01,-3.85%,753467
28/07/2025,0.26,0.26,0.24,0.24,-0.01,-4.00%,544026
29/07/2025,0.245,0.25,0.235,0.235,-0.005,-2.08%,1510564
30/07/2025,0.235,0.24,0.23,0.24,0.005,2.13%,627089
31/07/2025,0.235,0.24,0.23,0.24,0,0.00%,480450
1/08/2025,0.31,0.34,0.275,0.305,0.065,27.08%,13813051
4/08/2025,0.305,0.37,0.305,0.355,0.05,16.39%,4846785
5/08/2025,0.36,0.375,0.33,0.335,-0.02,-5.63%,2644022
6/08/2025,0.335,0.398,0.335,0.395,0.06,17.91%,4536883
7/08/2025,0.385,0.485,0.38,0.475,0.08,20.25%,5573445
8/08/2025,0.475,0.475,0.425,0.425,-0.05,-10.53%,3222289
11/08/2025,0.45,0.48,0.44,0.48,0.055,12.94%,5479786
12/08/2025,0.48,0.488,0.45,0.45,-0.03,-6.25%,2712318
13/08/2025,0.46,0.505,0.45,0.49,0.04,8.89%,3379812
14/08/2025,0.5,0.56,0.465,0.53,0.04,8.16%,4873930
15/08/2025,0.55,0.595,0.54,0.57,0.04,7.55%,5382460
18/08/2025,0.59,0.6,0.565,0.575,0.005,0.88%,3209006
19/08/2025,0.575,0.585,0.545,0.56,-0.015,-2.61%,1580185
20/08/2025,0.57,0.57,0.52,0.52,-0.04,-7.14%,1307250
21/08/2025,0.52,0.56,0.505,0.555,0.035,6.73%,2212817
22/08/2025,0.55,0.57,0.527,0.535,-0.02,-3.60%,1787946
25/08/2025,0.535,0.555,0.535,0.54,0.005,0.93%,549152
26/08/2025,0.55,0.55,0.53,0.545,0.005,0.93%,845513
27/08/2025,0.54,0.54,0.49,0.51,-0.035,-6.42%,2175461
28/08/2025,0.505,0.505,0.472,0.48,-0.03,-5.88%,2425494
29/08/2025,0.475,0.57,0.475,0.57,0.09,18.75%,4028040
1/09/2025,0.7,0.8,0.68,0.775,0.205,35.96%,19708551
2/09/2025,0.83,0.855,0.755,0.77,-0.005,-0.65%,10038314
3/09/2025,0.835,1.21,0.83,1.155,0.385,50.00%,25885838
4/09/2025,1.26,1.495,1.17,1.31,0.155,13.42%,27552036
5/09/2025,1.4,1.76,1.35,1.545,0.235,17.94%,31073818
8/09/2025,1.855,2.38,1.855,2.31,0.765,49.51%,36299670
9/09/2025,2.3,2.3,1.66,1.675,-0.635,-27.49%,25174221
10/09/2025,1.61,1.785,1.52,1.59,-0.085,-5.07%,19275018
11/09/2025,1.59,1.975,1.54,1.89,0.3,18.87%,21061827
12/09/2025,2.1,2.15,1.755,1.76,-0.13,-6.88%,18796555
15/09/2025,1.75,1.825,1.64,1.78,0.02,1.14%,10065816
16/09/2025,1.79,1.84,1.745,1.745,-0.035,-1.97%,5750730
17/09/2025,1.75,1.93,1.74,1.88,0.135,7.74%,9046697
18/09/2025,1.89,1.9,1.75,1.785,-0.095,-5.05%,5637729
19/09/2025,1.795,1.82,1.62,1.665,-0.12,-6.72%,6353983
22/09/2025,1.67,1.675,1.44,1.515,-0.15,-9.01%,14747429
23/09/2025,1.48,1.55,1.46,1.495,-0.02,-1.32%,8953608
24/09/2025,1.495,1.54,1.41,1.535,0.04,2.68%,8186737
25/09/2025,1.545,1.75,1.51,1.75,0.215,14.01%,9604691
26/09/2025,1.755,1.855,1.715,1.81,0.06,3.43%,9453236
29/09/2025,1.84,1.885,1.737,1.8,-0.01,-0.55%,8240501
30/09/2025,1.785,2.115,1.74,1.98,0.18,10.00%,13597743
1/10/2025,2.04,2.28,1.997,2.26,0.28,14.14%,10761704
2/10/2025,2.24,2.3,2.03,2.11,-0.15,-6.64%,8384483
3/10/2025,2.18,2.55,2.18,2.36,0.25,11.85%,15343023
6/10/2025,2.39,2.49,2.25,2.25,-0.11,-4.66%,9534653
7/10/2025,2.25,2.35,2.19,2.26,0.01,0.44%,7139884
8/10/2025,2.26,2.26,2.03,2.21,-0.05,-2.21%,4937688
9/10/2025,2.23,2.35,2.21,2.33,0.12,5.43%,6159892
10/10/2025,2.32,2.32,2.2,2.22,-0.11,-4.72%,2512300
13/10/2025,2.1,2.12,2.01,2.03,-0.19,-8.56%,6806070
14/10/2025,2.07,2.09,1.9,1.9,-0.13,-6.40%,5634039
15/10/2025,1.945,1.972,1.745,1.84,-0.06,-3.16%,7963740
16/10/2025,1.845,1.945,1.79,1.93,0.09,4.89%,3863053
17/10/2025,1.925,1.925,1.755,1.755,-0.175,-9.07%,3950792
20/10/2025,1.76,1.8,1.7,1.725,-0.03,-1.71%,3542793
21/10/2025,1.77,1.835,1.725,1.8,0.075,4.35%,2946925
22/10/2025,1.99,2.04,1.85,1.85,0.05,2.78%,5792939
23/10/2025,1.85,2.1,1.81,1.985,0.135,7.30%,7006195
24/10/2025,1.995,2.02,1.885,1.9,-0.085,-4.28%,2775038
27/10/2025,1.91,1.955,1.84,1.92,0.02,1.05%,2063475
28/10/2025,1.93,1.945,1.765,1.79,-0.13,-6.77%,3229645
29/10/2025,1.81,1.855,1.775,1.83,0.04,2.23%,1593469
30/10/2025,1.835,1.91,1.74,1.77,-0.06,-3.28%,3200056
31/10/2025,1.775,1.795,1.73,1.74,-0.03,-1.69%,1642906
3/11/2025,1.725,1.735,1.587,1.595,-0.145,-8.33%,4801499
4/11/2025,1.59,1.64,1.51,1.61,0.015,0.94%,4382533
5/11/2025,1.57,1.58,1.472,1.515,-0.095,-5.90%,5327837
6/11/2025,1.5,1.54,1.455,1.465,-0.05,-3.30%,2768806
7/11/2025,1.465,1.515,1.42,1.435,-0.03,-2.05%,2896518
10/11/2025,1.555,1.675,1.555,1.635,0.2,13.94%,4761347
11/11/2025,1.64,1.65,1.57,1.6,-0.035,-2.14%,2437716
12/11/2025,1.6,1.61,1.53,1.55,-0.05,-3.13%,1622466
13/11/2025,1.57,1.58,1.465,1.47,-0.08,-5.16%,2067689
14/11/2025,1.435,1.465,1.41,1.44,-0.03,-2.04%,1913176
17/11/2025,1.425,1.56,1.4,1.55,0.11,7.64%,2211318
18/11/2025,1.52,1.625,1.47,1.485,-0.065,-4.19%,2377089
19/11/2025,1.48,1.51,1.43,1.435,-0.05,-3.37%,2307426
20/11/2025,1.48,1.52,1.435,1.455,0.02,1.39%,1288598
21/11/2025,1.45,1.45,1.4,1.425,-0.03,-2.06%,1473433
24/11/2025,1.44,1.57,1.44,1.54,0.115,8.07%,2650680
25/11/2025,1.57,1.63,1.49,1.58,0.04,2.60%,2613211
26/11/2025,1.61,1.64,1.55,1.6,0.02,1.27%,1977472
27/11/2025,1.59,1.615,1.55,1.61,0.01,0.63%,1113404
28/11/2025,1.63,1.725,1.61,1.71,0.1,6.21%,3432045
1/12/2025,1.73,1.795,1.67,1.745,0.035,2.05%,2721194
2/12/2025,1.75,1.758,1.645,1.655,-0.09,-5.16%,1218086
3/12/2025,1.88,1.96,1.755,1.92,0.265,16.01%,8712625
4/12/2025,1.92,1.92,1.775,1.84,-0.08,-4.17%,4327651
5/12/2025,1.85,2,1.815,1.9,0.06,3.26%,4327651
8/12/2025,1.85,1.97,1.85,1.9,0,0.00%,2595643
9/12/2025,1.9,2.02,1.825,2,0.1,5.26%,3841551
10/12/2025,2.1,2.21,2.08,2.12,0.12,6.00%,5502783
11/12/2025,2.12,2.17,2.02,2.04,-0.08,-3.77%,3832133
12/12/2025,2.12,2.3,2.07,2.22,0.18,8.82%,6576161
15/12/2025,2.3,2.45,2.26,2.44,0.22,9.91%,6575325
16/12/2025,2.43,3.04,2.37,2.98,0.54,22.13%,14560501
17/12/2025,2.96,2.98,2.7,2.83,-0.15,-5.03%,5854421
18/12/2025,2.81,2.97,2.71,2.89,0.06,2.12%,5412393
19/12/2025,3.16,3.72,3.16,3.51,0.62,21.45%,15684500
22/12/2025,3.55,3.67,3.37,3.57,0.06,1.71%,7731801
23/12/2025,3.62,3.89,3.51,3.65,0.08,2.24%,8026742
24/12/2025,3.7,3.88,3.58,3.83,0.18,4.93%,3876945
